folio,cuidados
3797,¡Dígame algo para tranquilizarme o así!
9262,¡Me apoyan en todo!
11811,¡Me pregunté cómo me siento o si estoy bien!
563,¡No pelear y respetar!
8349,"¡No, ya me aburrí!"
8728,¡No!
8729,¡No!
7551,¡Que me abracen!
2183,¡Que me escuchen!
959,"¡Que me pregunten si estoy bien, cómo me siento, o que pregunten dónde me encuentro y con quién!"
2242,¿A dónde me preguntan que voy?
4154,¿A dónde voy yo?
7184,¿A dónde voy?
11761,¿Al quererme?
4324,"¿Cómo estás, con frecuencia?"
6249,¿Cómo estás?
13781,¿Cómo estás? ¿Cómo me siento?
2768,¿Cómo estoy?
3689,¿Cómo estoy?
7076,¿Cómo estoy?
10973,¿Cómo estoy?
9516,¿Cómo estoy? ¿Me fue bien? Etc.
9517,¿Cómo estoy? ¿Otra cosa?
397,¿Cómo hacer dinero jugando?
3638,¿Cómo me encuentro?
14042,¿Cómo me siento?
10401,¿Cómo me trata?
7185,¿Cómo me tratan afectivamente?
2760,¿Cómo protegerme o hablar bien?
31621,¿Cómo son conmigo?
5099,¿Cómo son conmigo?
3001,¿Cómo te sientes?
8558,"¿Cómo te sientes? Aquí estoy. Un abrazo. Te extrañé. Me sobreexplican las cosas, etc."
10136,¿Cómo tratan?
11438,¿Convivir conmigo?
9779,¿Cuán están pendientes de mí?
9778,¿Cuán pendientes están de mí?
2791,¿Cuándo me abrazan o me dicen que estarán conmigo pase lo que pase?
11764,"¿Cuando me abrazan, me dan un beso?"
10327,"¿Cuándo me ayudan con mis tareas que no entiendo, cuándo las hacen?"
3972,¿Cuándo me cuidan?
13432,¿Cuándo me defienden?
11691,¿Cuándo me demuestran su afecto? ¿Cuándo me ayudan?
19881,¿Cuándo me dicen ya enflaqué?
9785,¿Cuándo me preguntan cómo estoy y si ya comí?
1372,¿Cuándo me regalas cosas?
25161,¿Cuándo me va a pasar alguna cosa?
4110,"¿Cuándo mi mamá me dice que yo puedo con todo, o a veces cuando me apoya en cosas que yo siento que no voy a poder?"
96810,¿Cuándo se preocupan de mí o de mi hermana?
232,¿Cuándo se preocupan por mí?
3898,¿Cuándo serían muy sobreprotectores?
11488,¿Cuándo vienen por mí a la escuela?
32031,¿De qué me apoyan?
10583,¿De qué me cuidan?
117710,¿De qué me dan de comer?
6305,¿De qué me dicen que me quieren?
9133,¿De qué me protegen cualquier problema?
716,¿Decir las cosas a alguien a quien le tengo confianza?
2175,¿Dónde está mi mamá en cada momento?
3812,¿Dónde están las casas bien?
7466,¿Dónde estoy?
240,¿Dónde me encuentro? ¿Cómo estoy? ¿Ya comiste?
525,¿El amor de mi familia?
11285,¿El tiempo que me dedica para estar junto a mí y a mi familia?
143,¿En qué me apoyan y defienden de algunas cosas?
3196,¿En qué ocasiones hay discusiones por algún desacuerdo o algo que no esté bien organizado?
4156,¿En qué revisan todo lo que hago y la hora en que lo hago?
1309,¿Es suficiente que mi mamá se preocupe por mí y por mi hermana y nos quiera?
6861,¿Escuchar música?
3015,¿Está conmigo mi padre o mi perro?
2372,¿Está la policía cuidando a toda la ciudadanía y jugando fútbol?
9148,¿Están al pendiente de mí?
536,¿Estar con mi papá?
1503,¿Estar siempre feliz y seguro?
11948,¿Estás a mi lado en general? :D
20061,¿Estoy haciendo las cosas bien?
1917,¿Jugar con mis amigos?
196,¿Jugar fútbol?
2285,¿Jugar fútbol?
1413,¿Los abrazos?
3532,¿Me acompaña a la escuela o a mi casa?
11476,¿Me apoyan cuando estoy triste? ¿Me dan abrazos para no sentirme solo?
11745,¿Me apoyan en mis emociones?
2714,¿Me apoyarán?
113211,"¿Me avisan de las cosas que pasan fuera de casa, que no me dejan salir con tanta frecuencia a la calle? ¿Me dicen cómo son las personas con las que quiero juntarme? ¿Me dicen que me cuide mucho cuando voy a la escuela?"
9028,¿Me ayudan con el trabajo?
11032,"¿Me ayudan en lo que necesite, me apoyan y no me dejan nunca sola?"
7149,¿Me ayudan o me hacen sentir unida?
11885,¿Me ayudan para salir adelante?
5605,¿Me compran cosas o me mantienen?
11479,¿Me comprarán lo que quiera y me harán sentir feliz?
11246,"¿Me cuidan, me apoyan, me dicen que le eche ganas al estudio para la carrera que quiero?"
11466,¿Me demuestran afecto y se preocupan por mí?
5188,¿Me dicen cosas para cuidarme o no me dejan salir sola?
11429,¿Me dicen que con cuidado en la calle?
11689,¿Me hacen de comer?
117211,¿Me hacen de comer?
71,¿Me hacen de comer? ¿Me lavan la ropa? ¿Me cuidan?
1913,¿Me haces de comer?
15852,¿Me marcan o me quieren?
2074,"¿Me podrían apoyar en lo que necesito, dedicarme tiempo para convivir y pasear en familia?"
3218,¿Me pregunta cómo me fue en la escuela?
590,¿Me prestan atención o me escuchan?
3075,¿Me protege al salir de casa a un lugar con mucha gente?
